wikidataID,name,country,field,wiki_title_vi,wiki_url_vi,summary_vi,image
Q275103,Ohta Tomoko,Japan,sinh học,Ohta Tomoko,https://vi.wikipedia.org/wiki/Ohta_Tomoko,"Ohta Tomoko (tên trong tiếng Nhật: 太田 朋子, tiếng Anh: /tumoʊkoʊ ˈoʊtə/, tiếng Việt: /ô-ta tô-mô-cô/) là nhà nữ khoa học Nhật Bản chuyên về lĩnh vực di truyền phân tử và tiến hoá phân tử. Bà nổi tiếng vì những thành tựu nghiên cứu của mình trong lĩnh vực đa hình di truyền, nhất là cống hiến về phát triển thuyết tiến hoá trung tính bằng học thuyết gọi là thuyết tiến hoá phân tử gần trung tính (the nearly neutral theory of molecular evolution)., 
Thuyết tiến hóa phân tử gần trung tính là một mở rộng thuyết tiến hoá trung tính mà Kimura Motoo đề xuất về tiến hóa phân tử., 


== Tiểu sử ==
Ohta sinh ngày 7 tháng 9 năm 1933, tại Miyoshi thuộc vùng Aichi, phía Đông Nam Nhật Bản.
Ngay sau chiến tranh thế giới thứ hai kết thúc, Ohta mới 12 tuổi. Cũng như đất nước Nhật Bản vô cùng nghèo khó thời đó, trẻ em phải làm việc và giúp đỡ cha mẹ thay cho học tập. Ngoài ra, các học sinh nữ khó vào các trường đại học và Ohta không phải là một ngoại lệ.

Ở Nhật Bản vào khoảng những năm 1950 đã xuất hiện sự hợp tác Mỹ - Nhật trong một số lĩnh vực, trong đó có giáo dục, nên học sinh nữ được khuyến khích học cao hơn. Ohta thi vào trường đại học Y nhưng đã trượt. Sau đó, Ohta vào học ở khoa Nông nghiệp của Đại học Tokyo và tốt nghiệp năm 1956, mặc dù bản thân ""không thích thú và thực sự không biết phải làm gì sau khi tốt nghiệp"" (tự thuật của Ohta).
Sau khi ra trường, Ohta kiếm sống nhờ làm biên tập viên cho một công ty xuất bản, rồi may mắn được thuê làm nhân viên hợp đồng cho Viện nghiên cứu Sinh học Kihara ở Yokohama. Ở đây, công việc của Ohta có phù hợp với chuyên môn được đào tạo là nghiên cứu tế bào học của lúa mì và củ cải đường, nhưng là lĩnh vực mà Ohta ""không hào hứng lắm"".
Tại viện nghiên cứu Sinh học Kihara, giáo sư Hitoshi Kihara tạo điều kiện cho Ohta trở thành một sinh viên du học tại trường Đại học Bắc Carolina (North Carolina State University) ở Hoa Kỳ vào năm 1962. Ở trường đại học này, do thấy các khóa đào tạo sau đại học về di truyền học và sinh học thống kê rất thú vị với mình, nên Ohta chuyển từ lĩnh vực tế bào học thực vật sang di truyền học quần thể. Trong lĩnh vực này, Ken-Ichi Kojima ở khoa Di truyền học đã giúp Ohta nghiên cứu thêm chuyên môn, đồng thời cũng là thày dạy của Ohta.
Năm 1966, Ohta đạt bằng tiến sĩ của Đại học Bắc Carolina, lúc đó cũng vừa hết hạn thị thực 4 năm (vì là sinh viên học bổng - Fulbright).
Khoảng cuối năm 1966, Ohta trở về Nhật Bản và muốn làm việc đúng chuyên môn ưa thích của mình tại viện Di truyền học Quốc gia Mishima - lúc đó do Motoo Kimura đứng đầu và cũng là vì ông là nhà di truyền học quần thể lý thuyết duy nhất tại Nhật Bản đương thời. Lúc đầu, vị Viện trưởng này đã nghi ngờ ít nhiều khả năng của người phụ nữ còn khá trẻ, nhưng cuối cùng đã chấp nhận cho Ohta làm nghiên cứu sinh sau tiến sĩ về chuyên ngành của chính mình. Ở đây, Ohta đã làm việc khoảng 30 năm cho đến năm 1996. Bà đã nói rằng: ""Tôi đã may mắn được làm việc trong phòng thí nghiệm của Kimura"".
Bà đã kết hôn với Yasuo Ohta từ năm 1960 đến năm 1972 và có một con.


== Sự nghiệp ==
Vào thời điểm mà bà bắt đầu khởi nghiệp ở Nhật Bản, thuyết tiến hoá trung tính mà Kimura Motoo đề xuất đã rất nổi tiếng. Tuy nhiên, sau đó Ohta phát hiện rằng: ở cấp độ phân tử thì ngoài đột biến trung tính, còn có loại ""đột biến gần trung tính"" (nearly neutral mutation), đồng thời đề xuất rằng ""chọn lọc tự nhiên không đơn giản phân loại đột biến thành các loại có lợi, có hại và trung tính"", nên đề xuất lý thuyết tiến hóa phân tử gần trung tính vào những năm đầu của thập niên 1970.
Năm 1973, bà xuất bản bài báo khoa học lớn đầu tiên của mình về giả thuyết này, trong đó nhấn mạnh tầm quan trọng của mối tương tác giữa trôi dạt di truyền với chọn lọc tự nhiên. Giả thuyết của bà đã gặp phải sự phản đối mạnh mẽ trong những năm 1970 và 1980 ở cả trong nước lẫn nước ngoài. Tuy nhiên, nhiều bằng chứng hỗ trợ giả thuyết ngày càng được tích lũy nhiều vào những năm 1990 trở đi, nên giả thuyết của bà được công nhận như là một học thuyết. Ngoài ra, bà còn là đồng tác giả với Kimura Motoo của nhiều tác phẩm khoa học quan trọng trong lĩnh vực tiến hoá phân tử.


== Vinh danh ==

Bà Ohta Tomoko đã nhận được nhiều giải thưởng và danh hiệu ghi nhận cống hiến của mình ở Nhật Bản và nước ngoài.

1984 - Viện sĩ nước ngoài của viện Hàn lâm Khoa học và Nghệ thuật Hoa Kỳ (American Academy of Arts and Sciences).
1985 - Giải thưởng viện Hàn lâm Nhật Bản.
2002 - Viện sĩ nước ngoài của Viện Hàn lâm Khoa học Quốc gia Hoa Kỳ (National Academy of Sciences)
2002 - Danh nhân văn hoá Nhật Bản.
2015 - Giải thưởng Crafoord của viện Hàn lâm Khoa học Hoàng gia Thụy Điển.
2016 - Huân chương Văn hoá (Order of Culture) của Nhật Bản.


== Sách đã xuất bản ==
''Theoretical aspects of population genetics'', Motoo Kimura và Tomoko Ohta (1971)
""Evolution and variation of multigene families'', Tomoko Ohta (1980)
''Population genetics and molecular evolution: papers marking the sixtieth birthday of Motoo Kimura'', Tomoko Ohta và Kenichi Aoki (1985)
''Tomoko Ohta and the Nearly Neutral Theories: The role of a female geneticist in the neutralist-selectionist controversy'', Tomoko Y. Steen (1996) Ph.D. Dissertation.


== Nguồn trích dẫn ==


== Liên kết ngoài ==
Profile of Tomoko Ohta at Perspectives on Molecular Evolution",https://upload.wikimedia.org/wikipedia/commons/a/a4/Tomoko_Harada_cropped_1_Tomoko_Harada_201611.png
Q11479326,Hiroya Kawanabe,Japan,sinh học,,,,
Q131542722,Shota Tanaka,Japan,toán học,,,,
Q55537603,Reikichi Shirane,Japan,viễn thông,,,,
Q930319,Shoshichi Kobayashi,Japan,toán học,,,,
Q794299,Gorō Azumaya,Japan,toán học,Gor%C5%8D_Azumaya,,,
Q24061141,Tadashi Tokieda,Japan,toán học,,,,
Q1906735,Masamichi Takesaki,Japan,toán học,,,,
Q1639493,Huzihiro Araki,Japan,toán học,,,,
Q15835295,Minoru Tomita,Japan,toán học,,,,
Q61904879,Kunihiko Fukushima,Japan,khoa học máy tính,,,,
Q69912810,Kazuo Murota,Japan,khoa học máy tính,,,,
Q17210838,Takao Nishizeki,Japan,khoa học máy tính,,,,
Q131542466,Yuya Jones,Japan,toán học,,,,
Q183373,Hironaka Heisuke,Japan,toán học,Hironaka Heisuke,https://vi.wikipedia.org/wiki/Hironaka_Heisuke,,
Q130443128,Toshizō Matsumoto,Japan,toán học,Toshiz%C5%8D_Matsumoto,,,
Q1995996,Katsumi Nomizu,Japan,toán học,,,,
Q11638778,Takao Kondō,Japan,sinh học,Takao_Kond%C5%8D,,,
Q476959,Teiji Takagi,Japan,toán học,,,,
Q353411,Gorō Shimura,Japan,toán học,Gor%C5%8D_Shimura,,,
Q131543071,Shun Okada,Japan,toán học,,,,
Q83538932,Akihiko Konagaya,Japan,khoa học máy tính,,,,
Q1676097,Shokichi Iyanaga,Japan,toán học,,,,
Q722634,Yasumasa Kanada,Japan,toán học,,,,
Q29043474,Takenori Sasaki,Japan,sinh học,,,,
Q11385648,Yasui Kono,Japan,sinh học,,,,
Q267066,Shinichi Mochizuki,Japan,toán học,,,,
Q333000,Kazuya Kato,Japan,toán học,,,,
Q116164442,Ken'ichi Satō,Japan,toán học,Ken%27ichi_Sat%C5%8D,,,
Q11408759,Mitio Nagumo,Japan,toán học,,,,
Q1381102,Masayoshi Nagata,Japan,toán học,,,,
Q556250,Kenjirō Shōda,Japan,toán học,Kenjir%C5%8D_Sh%C5%8Dda,,,
Q722634,Yasumasa Kanada,Japan,khoa học máy tính,,,,
Q11564508,Shigeru Mizohata,Japan,toán học,,,,
Q375000,Masaki Kashiwara,Japan,toán học,,,,
Q11557098,Chieko Asakawa,Japan,khoa học máy tính,,,,
Q1587834,Haruzo Hida,Japan,toán học,,,,
Q96471858,Masako Sai,Japan,sinh học,,,,
Q11562063,Shinzō Watanabe,Japan,toán học,Shinz%C5%8D_Watanabe,,,
Q11562406,Sumio Watanabe,Japan,toán học,,,,
Q102343278,Zhipeng Cai,China,khoa học máy tính,,,,
Q51103194,Fang Fuquan,China,toán học,,,,
Q9120917,Wushour Silamu,China,khoa học máy tính,,,,
Q8460832,Liu Gang,China,toán học,,,,
Q81898213,Hui Xiong,China,khoa học máy tính,,,,
Q60330265,Yuqing Gao,China,khoa học máy tính,,,,
Q9098255,Wan Zhexian,China,toán học,,,,
Q132769355,Yunjie He,China,khoa học máy tính,,,,
Q30904187,Xiaoyuan Tu,China,khoa học máy tính,,,,
Q712485,Li Tieying,China,toán học,,,,
Q47670911,Song-Chun Zhu,China,khoa học máy tính,,,,
Q1632734,Huai-Dong Cao,China,toán học,,,,
Q9134013,Xi Nanhua,China,toán học,,,,
Q20687818,Jiang Changjun,China,khoa học máy tính,,,,
Q5221836,Daqing Wan,China,toán học,,,,
Q44286938,Xiaoxiang Zhu,China,khoa học máy tính,,,,
Q15456141,Yongbin Ruan,China,toán học,,,,
Q102410741,Gang Liu,China,toán học,,,,
Q27134,Pan Chengdong,China,toán học,,,,
Q11252622,Pan Wenshi,China,sinh học,,,,
Q5090797,Chen Jiangong,China,toán học,,,,
Q76310945,Sun Binyong,China,toán học,,,,
Q438582,Hu Hesheng,China,toán học,,,,
Q2391931,Tan Lei,China,toán học,,,,
Q8071005,Zhou Chaochen,China,khoa học máy tính,,,,
Q62888,Andrew Yao,China,khoa học máy tính,,,,
Q65015779,Zhaoping Li,China,sinh học,,,,
Q8462828,Yang Le,China,toán học,,,,
Q61761649,Gang Hua,China,khoa học máy tính,,,,
Q87721563,Changyun Wen,China,khoa học máy tính,,,,
Q97099827,Jiajun Wu,China,khoa học máy tính,,,,
Q15914139,Si-Zhao Joe Qin,China,khoa học máy tính,,,,
Q83818850,Sun Ninghui,China,khoa học máy tính,,,,
Q92985,Lý Ngạn Hoành,China,khoa học máy tính,L%C3%BD_Ng%E1%BA%A1n_Ho%C3%A0nh,,,
Q123785671,Zhi Jin,China,khoa học máy tính,,,,
Q70423639,Chen Yazhe,China,toán học,,,,
Q15855293,Ying Lexing,China,toán học,,,,
Q942908,Gang Tian,China,toán học,,,,
Q715444,Gu Chaohao,China,toán học,,,,
Q102436011,Chenfanfu Jiang,China,toán học,,,,
Q1440827,Sun-Yung Alice Chang,China,toán học,,,,
Q2601552,Wang Yuan,China,toán học,,,,
Q102436011,Chenfanfu Jiang,China,khoa học máy tính,,,,
Q47673811,Li Guojie,China,khoa học máy tính,,,,
Q6362166,Kang G. Shin,South Korea,khoa học máy tính,,,,
Q90567327,Jungchan Cho,South Korea,khoa học máy tính,,,,
Q102256978,Sue Bok Moon,South Korea,khoa học máy tính,,,,
Q120544319,Jin-Cheon Na,South Korea,khoa học máy tính,,,,
Q102225742,Kyu-Hwan Lee,South Korea,toán học,,,,
Q19519312,YoungJu Choie,South Korea,toán học,,,,
Q15835702,Moses Charikar,India,khoa học máy tính,,,,
Q4387214,N. S. Rajaram,India,toán học,,,,
Q253960,Ravi Sethi,India,toán học,,,,
Q711237,Calyampudi Radhakrishna Rao,India,toán học,,,,
Q5308317,Dronamraju Krishna Rao,India,sinh học,,,,
Q13534569,Gopinath Kallianpur,India,toán học,,,,
Q1356865,Kannan Soundararajan,India,toán học,,,,
Q561478,Prasanta Chandra Mahalanobis,India,toán học,,,,
Q131375597,Nirav Vyas,India,toán học,,,,
Q7283607,Rahul Mukerjee,India,toán học,,,,
Q6354986,Kalyanmoy Deb,India,khoa học máy tính,,,,
Q253960,Ravi Sethi,India,khoa học máy tính,,,,
Q16105118,Inder Bir Singh Passi,India,toán học,,,,
Q27916064,Gautam Mitra,India,toán học,,,,
Q7238265,Pramod Khargonekar,India,khoa học máy tính,,,,
Q457933,S. R. Ranganathan,India,toán học,S. R. Ranganathan,https://vi.wikipedia.org/wiki/S._R._Ranganathan,"Siyali Ramamrita Ranganathan (S.R.R.) ( tiếng Tamil: சீர்காழி இராமாமிருதம் ரங்கநாதன், tiếng Hindi: शियाली राममृत रंगनाथन; 12 12 tháng 8 năm 1892 - 27 tháng 9 năm 1972) tên tiếng việt Nguyễn Gannasang là một nhà toán học và nhà thư viện của Ấn Độ. Những đóng góp đáng chú ý nhất của ông đối với lĩnh vực này là năm bộ luật về khoa học thư viện và sự phát triển của hệ thống phân loại faceted đầu tiên, phân loại ruột kết. Ông được coi là cha đẻ của khoa học thư viện, tài liệu, và khoa học thông tin ở Ấn Độ và được biết đến rộng rãi trên toàn thế giới vì những suy nghĩ căn bản của ông trong lĩnh vực này. Sinh nhật của ông được quan sát hàng năm như là Ngày Thư viện Quốc gia ở Ấn Độ.
Ông là thư viện thủ thư và giáo sư về khoa học thư viện tại Đại học Banaras Hindu (1945-47) và giáo sư khoa học thư viện tại Đại học Delhi (1947-55). Cuộc hẹn cuối cùng làm cho anh ta trở thành giám đốc của trường ban thư viện Ấn Độ đầu tiên có bằng cao hơn. Ông là chủ tịch Hiệp hội Thư viện Ấn Độ từ năm 1944 đến năm 1953. Năm 1957 ông được bầu làm thành viên danh dự của Liên đoàn Thông tin và Tài liệu Quốc tế (FID) và được bổ nhiệm làm phó chủ tịch của Hiệp hội Thư viện Anh Quốc.


== Tiểu sử ==
Ranganathan, sinh ngày 12 tháng 8 năm 1892 trong gia đình của Ramamrita, ở Siyali (nay là Sirkazhi) trong Ấn Độ thuộc Anh tại Tanjavoor (nay là, Nagapattinam), Tamil Nadu.
Ranganathan bắt đầu sự nghiệp với tư cách một nhà toán học; ông đã có bằng cử nhân và thạc sĩ về toán học tại Madras Christian College ở quê nhà của mình, và sau đó tiếp tục kiếm được giấy phép giảng dạy. Mục đích của ông là dạy toán học, và ông liên tục là thành viên của các khoa toán tại các trường đại học ở Mangalore, Coimbatore và Madras). Là một giáo sư toán học, ông đã xuất bản các bài báo chủ yếu về lịch sử toán học. Sự nghiệp của ông là một nhà giáo dục đã bị cản trở bởi [stammering] (một khó khăn mà ông dần dần vượt qua trong cuộc sống nghề nghiệp của mình). Chính phủ Ấn Độ trao tặng Padmashri cho Tiến sĩ S.R. Ranganathan năm 1957 vì những đóng góp có giá trị cho Khoa học Thư viện


== Tham khảo ==",https://upload.wikimedia.org/wikipedia/commons/7/7a/S._R._Ranganathan.jpg
Q7632861,Sucharit Sarkar,India,toán học,,,,
Q3634379,Nitin Saxena,India,toán học,,,,
Q7387480,S. G. Dani,India,toán học,,,,
Q130819054,Sudeep Tanwar,India,khoa học máy tính,,,,
Q131580375,Nirav Shah,India,toán học,,,,
Q16194366,Dinesh Thakur,India,toán học,,,,
Q17495891,Vinod Prakash Sharma,India,sinh học,,,,
Q7635640,Sujatha Ramdorai,India,toán học,,,,
Q88234573,Vishal Jain,India,khoa học máy tính,,,,
Q102316243,Ajith Abraham,India,sinh học,,,,
Q7074581,Obaid Siddiqi,India,sinh học,,,,
Q148109,Subrahmanyan Chandrasekhar,India,toán học,Subrahmanyan Chandrasekhar,https://vi.wikipedia.org/wiki/Subrahmanyan_Chandrasekhar,"Subrahmanyan Chandrasekhar (tiếng Tamil: சுப்பிரமணியன் சந்திரசேகர், tiếng Anh: /ˌtʃʌndrəˈʃeɪkɑr/; 19/10/1910 – 21/8/1995) là một nhà thiên văn vật lý người Mỹ gốc Ấn Độ. Ông giành giải Nobel vật lý cùng với William Alfred Fowler do những nghiên cứu của họ trong lý thuyết về cấu trúc và sự phát triển của các ngôi sao. Ông là cháu của Nobel gia người Ấn Độ C. V. Raman. 


== Tiểu sử ==
Chandrasekhar sinh ra ở Lahore, Punjab, Anh Ấn (bây giờ là Pakistan) trong một gia đình Tamil Iyer, là con trai thứ ba trong số mười người con của Sita Balakrishnan, và Chandrasekhara Subrahmanya Iyer, hay còn gọi là C.S. Iyer, một viên chức trong Cơ quan kế toán và kiểm toán Ấn Độ.. Tên gọi Chandrasekhar là một trong những danh hiệu của Shiva, có nghĩa là ""người giữ Mặt Trăng"" trong Sanskrit, và là một tên gọi Hindu phổ biến. Ông chú nội của Chandrasekhar cũng là một nhà vật lý người Ấn Độ và là một Nobel gia C. V. Raman. C. S. Iyer giữ vị trí là phó tổng kiểm toán của cơ quan đường sắt Đông bắc ở Lahore khi Chandrasekhar sinh ra. Tiếng mẹ đẻ của ông là tiếng Tamil. Bố của Chandra cũng có thể chơi nhạc Carnatic bằng violon, ông cũng viết một số quyển sách nghiên cứu về âm nhạc học. Mẹ ông giành công sức để nuôi dưỡng ông trở thành đứa trẻ thông minh và bà còn dịch cuốn ""Ngôi nhà búp bê"" của Henrik Ibsen sang tiếng Tamil. Bà cũng khuyến khích phát triển sớm trí tò mò của Chandra.
Chandrasekhar được học ở nhà từ bé cho đến cấp hai và sau đó ông học trường phổ thông Hindu, ở Triplicane, Madras, Anh Ấn từ 1922-1925. Sau khi tốt nghiệp, ông học tại trường Presidency College, Chennai từ 1925 đến 1930, nhận bằng cử nhân Vật lý tháng 6 năm 1930. Tháng 7 năm 1930, Chandrasekhar nhận được học bổng của chính phủ Ấn Độ để học tập tại đại học Cambridge, nơi ông học là Trinity College và trở thành sinh viên nghiên cứu dưới sự hướng dẫn của giáo sư R. H. Fowler. Theo lời khuyên của giáo sư P. A. M. Dirac, một nhà vật lý nổi tiếng và cũng hướng dẫn ông, 
Chandrasekhar đến nghiên cứu 1 năm tại Institut for Teoretisk Fysik (Viện Vật lý lý thuyết) ở Copenhagen Đan Mạch, nơi ông gặp giáo sư Niels Bohr. Hè năm 1933, Chandrasekhar nhận bằng tiến sĩ tại đại học Cambridge, và vào tháng 10 ông được chọn làm thành viên danh dự của Trinity College trong giai đoạn 1933-37. Trong thời gian này, ông trở thành người quen của giáo sư Sir Arthur Eddington và giáo sư E. A. Milne. Tháng 9 năm 1936, Chandrasekhar cưới Lalitha Doraiswamy, là bạn học cùng trường Presidency College, Madras, và ông là người hướng dẫn năm thứ nhất cho cô. Trong tự truyện Nobel của ông, Chandrasekhar viết ""sự hiểu biết kiên nhẫn của Lalitha, sự ủng hộ và động viên của bà ấy là nhân tố chính trong cuộc sống của tôi.""


== Sự nghiệp ==


== Giải Nobel ==


== Tham khảo ==",
Q7918205,Veeravalli S. Varadarajan,India,toán học,,,,
Q7261834,Pushpa Mittra Bhargava,India,sinh học,,,,
Q19666478,Krithi Karanth,India,sinh học,,,,
Q5088123,Chaudry Mohammad Aslam,India,toán học,,,,
Q2127239,Raghavan Narasimhan,India,toán học,,,,
Q102189724,Anurag K. Singh,India,toán học,,,,
Q15967113,Rajendra Bhatia,India,toán học,,,,
Q99393692,Sanjay Chaudhary,India,khoa học máy tính,,,,
Q102338982,Kamala Krithivasan,India,khoa học máy tính,,,,
Q156333,J.B.S. Haldane,India,sinh học,,,,
Q68544272,Sushmita Ruj,India,khoa học máy tính,,,,
Q17488996,Shashikumar Chitre,India,toán học,,,,
Q126177840,Jayaprakash Sundararaj,India,khoa học máy tính,,,,
Q20798882,Amalendu Krishna,India,toán học,,,,
Q38046381,Nam Parshad Bhatia,India,toán học,,,,
Q136464575,Jayasri Sai Nikitha Guthula,India,khoa học máy tính,,,,
Q18205940,Khanindra Chandra Chowdhury,India,toán học,,,,
Q15990096,Mathai Joseph,India,khoa học máy tính,,,,
Q54867741,Rabi Bhattacharya,India,toán học,,,,
Q92963,Rajeev Motwani,India,khoa học máy tính,,,,
Q7565096,Sourav Chatterjee,India,toán học,,,,
Q7504182,Shriram Krishnamurthi,India,khoa học máy tính,,,,
Q18354700,Sanghamitra Bandyopadhyay,India,khoa học máy tính,,,,
Q3909884,Pranab K. Sen,India,toán học,,,,
Q6203258,Jitendra Malik,India,khoa học máy tính,,,,
Q6323832,Kalyanapuram Rangachari Parthasarathy,India,toán học,,,,
Q102316243,Ajith Abraham,India,khoa học máy tính,,,,
Q112343075,Kusum Deep,India,toán học,,,,
Q111516500,Arun Kumar Choudhury,India,khoa học máy tính,,,,
Q97061046,Darshit Pandya,India,khoa học máy tính,,,,
Q134450946,DarkTarang Siddhant Pandey,India,khoa học máy tính,,,,
Q93034,Ravindran Kannan,India,khoa học máy tính,,,,
Q23928192,Srikanth Iyengar,India,toán học,,,,
Q36983746,Krishna B. Athreya,India,toán học,,,,
Q102396993,Shubhangi Saraf,India,khoa học máy tính,,,,
Q108405866,Bibhutibhusan Sen,India,toán học,,,,
Q120804374,Hrishikesh Bhaskaran,India,khoa học máy tính,,,,
Q112343075,Kusum Deep,India,khoa học máy tính,,,,
Q6550039,Lin Hsin Hsin,Singapore,toán học,,,,
Q5264847,Desney Tan,Singapore,khoa học máy tính,,,,
Q59327509,Wee Teck Gan,Malaysia,toán học,,,,
Q92362,Lisa Sauermann,Germany,toán học,,,,
Q90800,Rudolf Luneburg,Germany,toán học,,,,
Q92377,Ernst Barthel,Germany,toán học,,,,
Q92406,Helmuth Gericke,Germany,toán học,,,,
Q91657,Christian August Hausen,Germany,toán học,,,,
Q92415,Ernst Hölder,Germany,toán học,Ernst_H%C3%B6lder,,,
Q89023,Christian Gustav Adolph Mayer,Germany,toán học,,,,
Q97639,Alexander Dinghas,Germany,toán học,,,,
Q91570,Georg Wolfgang Krafft,Germany,toán học,,,,
Q97659,Franz Thomas Bruss,Germany,toán học,,,,
Q89038,Alexander Witting,Germany,toán học,,,,
Q91212,Egbert Brieskorn,Germany,toán học,,,,
Q96094,Anton von Braunmühl,Germany,toán học,Anton_von_Braunm%C3%BChl,,,
Q98031,Willi Rinow,Germany,toán học,,,,
